,Filepath,Label
0,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03842.jpg,POSITIVE
1,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\12899_1.jpg,POSITIVE
2,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15033_1.jpg,POSITIVE
3,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16782.jpg,NEGATIVE
4,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\09202.jpg,POSITIVE
5,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01289.jpg,NEGATIVE
6,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17322.jpg,NEGATIVE
7,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08601.jpg,POSITIVE
8,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13090.jpg,NEGATIVE
9,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19512.jpg,NEGATIVE
10,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06340.jpg,POSITIVE
11,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18279_1.jpg,POSITIVE
12,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15885.jpg,NEGATIVE
13,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01865.jpg,NEGATIVE
14,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02350.jpg,POSITIVE
15,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05014.jpg,NEGATIVE
16,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04326.jpg,POSITIVE
17,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18445_1.jpg,POSITIVE
18,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18568.jpg,NEGATIVE
19,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15808.jpg,NEGATIVE
20,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01575.jpg,NEGATIVE
21,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12748.jpg,NEGATIVE
22,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06460.jpg,POSITIVE
23,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15626_1.jpg,POSITIVE
24,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13302.jpg,NEGATIVE
25,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00959.jpg,NEGATIVE
26,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04159.jpg,POSITIVE
27,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16251.jpg,NEGATIVE
28,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19307.jpg,NEGATIVE
29,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\14065.jpg,NEGATIVE
30,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06791.jpg,NEGATIVE
31,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00665.jpg,NEGATIVE
32,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00151.jpg,NEGATIVE
33,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19986.jpg,NEGATIVE
34,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13161.jpg,NEGATIVE
35,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13131.jpg,NEGATIVE
36,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07328.jpg,NEGATIVE
37,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05639.jpg,POSITIVE
38,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05844.jpg,NEGATIVE
39,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11863_1.jpg,POSITIVE
40,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16998.jpg,NEGATIVE
41,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\17265_1.jpg,POSITIVE
42,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15888_1.jpg,POSITIVE
43,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\01608.jpg,POSITIVE
44,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16022.jpg,NEGATIVE
45,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\00198.jpg,POSITIVE
46,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\11064.jpg,NEGATIVE
47,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04499.jpg,POSITIVE
48,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19557.jpg,NEGATIVE
49,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15722_1.jpg,POSITIVE
50,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11016_1.jpg,POSITIVE
51,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\03366.jpg,NEGATIVE
52,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02612.jpg,POSITIVE
53,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15606.jpg,NEGATIVE
54,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18237.jpg,NEGATIVE
55,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18380.jpg,NEGATIVE
56,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10706.jpg,NEGATIVE
57,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\02620.jpg,NEGATIVE
58,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14849_1.jpg,POSITIVE
59,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17649.jpg,NEGATIVE
60,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18338_1.jpg,POSITIVE
61,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16236.jpg,NEGATIVE
62,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18887_1.jpg,POSITIVE
63,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\08003.jpg,NEGATIVE
64,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03356.jpg,POSITIVE
65,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\11108.jpg,NEGATIVE
66,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01273.jpg,NEGATIVE
67,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10722.jpg,NEGATIVE
68,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08533.jpg,POSITIVE
69,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14825_1.jpg,POSITIVE
70,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10698_1.jpg,POSITIVE
71,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\09125.jpg,NEGATIVE
72,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\12595_1.jpg,POSITIVE
73,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19345_1.jpg,POSITIVE
74,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16620.jpg,NEGATIVE
75,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18272_1.jpg,POSITIVE
76,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07366.jpg,NEGATIVE
77,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10833_1.jpg,POSITIVE
78,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\09792.jpg,POSITIVE
79,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17270.jpg,NEGATIVE
80,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15230_1.jpg,POSITIVE
81,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\17667_1.jpg,POSITIVE
82,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19288.jpg,NEGATIVE
83,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\09788.jpg,NEGATIVE
84,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14556_1.jpg,POSITIVE
